Id,Label,timeset,tf,ntf,df,idf,nidf,tdf,tf-idf,stopword,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2161,sycamore,,8,13.01709064,5,9.210360372,9.210320372,40,119.8920957,0,6,7,13,6,8,14,4,0.396413,0.413639,0
2162,sybil,,5,13.48709426,2,10.1266511,10.1266411,10,136.579098,0,3,4,7,3,4,7,4,0.414172,0.431431,0
2163,sworn,,25,11.87765635,24,7.641744454,7.641514432,600,90.76601456,0,11,5,16,24,22,46,4,0.409169,0.426572,0.000001
2164,swore,,7,13.15062203,7,8.873888135,8.873828135,49,116.6971488,0,4,5,9,5,7,12,4,0.418015,0.435243,0
2165,swordplay,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,1,2,1,1,2,5,0.360829,0.373487,0
2166,swordfish,,9,12.8993076,2,10.1266511,10.1266411,18,130.6267875,0,4,3,7,6,6,12,5,0.356367,0.367953,0
2167,sword,,165,9.990586703,91,6.308938778,6.30803839,15015,63.02999987,0,43,50,93,140,136,276,4,0.46615,0.476828,0.000066
2168,swollen,,18,12.20616042,15,8.111748083,8.111608076,270,99.01329838,0,10,11,21,12,13,25,5,0.395795,0.413087,0.000001
2169,switzerland,,1527,7.765471872,1281,3.664401982,3.651519616,1956087,28.45581052,0,80,161,241,1281,944,2225,4,0.476819,0.486846,0.000169
2170,switzer,,8,13.01709064,2,10.1266511,10.1266411,16,131.8195353,0,4,8,12,6,8,14,5,0.355938,0.367253,0
2171,switchgear,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,0,0,0,0,0,0,0,0,0
2172,switchboard,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.309089,0.313898,0
2173,switchback,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.318615,0.322283,0
2174,switch,,97,10.5218212,60,6.725453722,6.72486356,5820,70.76402154,0,37,38,75,79,81,160,4,0.454025,0.467077,0.000115
2175,swiss,,243,9.603470734,206,5.491922115,5.489870052,50058,52.74151331,0,49,67,116,217,167,384,5,0.4006,0.419058,0.000029
2176,swirl,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,2,4,2,2,4,4,0.400248,0.417826,0
2177,swipe,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,2,4,2,2,4,5,0.386252,0.402655,0
2178,swing,,46,11.26789078,38,7.182212124,7.181842063,1748,80.92838178,0,20,30,50,38,43,81,4,0.455224,0.467899,0.000003
2179,swine,,8,13.01709064,2,10.1266511,10.1266411,16,131.8195353,0,6,2,8,6,8,14,5,0.311678,0.316231,0
2180,swindle,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,1,1,0,1,1,5,0.321693,0.324979,0
2181,swimsuit,,5,13.48709426,5,9.210360372,9.210320372,25,124.2209985,0,3,4,7,4,4,8,4,0.389644,0.406808,0
2182,swim,,86,10.64218488,70,6.571303042,6.570612818,6020,69.93302188,0,23,43,66,83,80,163,4,0.451645,0.465255,0.000004
2183,swift,,29,11.72923635,22,7.728755831,7.728545813,638,90.65240381,0,14,17,31,24,20,44,4,0.447252,0.461152,0.000019
2184,swept,,16,12.32394346,16,8.047209562,8.047059554,256,99.17335561,0,9,7,16,14,14,28,5,0.406508,0.424147,0.000053
2185,swell,,15,12.38848198,14,8.180740955,8.180610949,210,101.3469619,0,7,11,18,13,14,27,4,0.435298,0.450843,0.000002
2186,sweetheart,,9,12.8993076,8,8.740356743,8.740286741,72,112.7445502,0,4,7,11,5,8,13,5,0.396024,0.413232,0
2187,sweeten,,5,13.48709426,5,9.210360372,9.210320372,25,124.2209985,0,1,3,4,5,5,10,5,0.385397,0.401702,0
2188,sweet,,232,9.649794806,186,5.59405161,5.592199934,43152,53.98145017,0,76,106,182,191,196,387,4,0.448156,0.463561,0.000079
2189,sweep,,11,12.6986369,11,8.421903011,8.421803008,121,106.9466884,0,7,9,16,9,10,19,4,0.433046,0.448975,0.000004
2190,sweeney,,16,12.32394346,7,8.873888135,8.873828135,112,109.3612956,0,10,8,18,14,16,30,4,0.404378,0.421939,0.000001
2191,swedish,,394,9.120181268,286,5.163806473,5.160952462,112684,47.09485107,0,66,138,204,352,282,634,4,0.455166,0.46988,0.000025
2192,sweden,,604,8.692957979,422,4.77479297,4.770574168,254888,41.50707465,0,82,154,236,514,482,996,4,0.471399,0.482701,0.000086
2193,swede,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,6,0.264301,0.268958,0
2194,sweaty,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,1,2,2,1,3,5,0.320705,0.324646,0
2195,sweatshop,,4,13.71023782,3,9.721185996,9.721165996,12,133.2797719,0,4,2,6,4,2,6,5,0.353043,0.363659,0
2196,sweater,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,2,2,4,2,2,4,5,0.354092,0.365058,0
2197,sweatband,,2,14.403385,1,10.81979828,10.81979828,2,155.8417203,0,2,2,4,2,2,4,5,0.336901,0.342924,0
2198,sweat,,60,11.00218762,32,7.354062381,7.35375234,1920,80.91077405,0,29,23,52,50,40,90,4,0.426655,0.443435,0.000004
2199,swear,,22,12.00548972,22,7.728755831,7.728545813,484,92.78749871,0,14,9,23,18,15,33,4,0.429744,0.445961,0
2200,swaziland,,20,12.1007999,7,8.873888135,8.873828135,140,107.3811447,0,9,11,20,18,16,34,4,0.436239,0.451683,0
2201,sway,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,1,3,5,0.326425,0.330118,0.000053
2202,swath,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.378607,0.394397,0
2203,swatch,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,2,1,3,3,1,4,5,0.325772,0.32925,0
2204,swat,,44,11.31234254,28,7.487593774,7.487323743,1232,84.7022256,0,17,14,31,32,28,60,4,0.441019,0.455866,0.000001
2205,swastika,,9,12.8993076,7,8.873888135,8.873828135,63,114.4670127,0,3,8,11,9,9,18,4,0.443055,0.457458,0
2206,swarthmore,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,1,1,2,2,3,5,5,0.324527,0.32819,0
2207,swarm,,16,12.32394346,11,8.421903011,8.421803008,176,103.7910565,0,8,10,18,12,11,23,4,0.411894,0.4293,0.000002
2208,swap,,13,12.53158282,12,8.334891634,8.334781631,156,104.4493848,0,8,9,17,9,11,20,4,0.413429,0.430891,0.000053
2209,swanson,,8,13.01709064,8,8.740356743,8.740286741,64,113.7740159,0,4,7,11,5,7,12,5,0.391915,0.408857,0
2210,swank,,4,13.71023782,2,10.1266511,10.1266411,8,138.8387949,0,1,3,4,1,3,4,5,0.386547,0.402993,0
2211,swan,,65,10.92214491,43,7.058598169,7.058178089,2795,77.09503204,0,21,34,55,53,55,108,4,0.45623,0.468767,0.000032
2212,swampy,,8,13.01709064,8,8.740356743,8.740286741,64,113.7740159,0,6,5,11,8,6,14,5,0.329736,0.334104,0
2213,swampland,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,1,1,0,1,1,5,0.384234,0.400398,0
2214,swamp,,50,11.18450917,40,7.13091883,7.130528762,2000,79.75582706,0,22,30,52,35,36,71,4,0.441315,0.456505,0.000008
2215,swami,,8,13.01709064,6,9.028038815,9.027988815,48,117.5187995,0,4,3,7,5,3,8,5,0.338979,0.34603,0
2216,swam,,7,13.15062203,6,9.028038815,9.027988815,42,118.7243261,0,3,5,8,3,5,8,5,0.370538,0.385076,0
2217,swallowtail,,9,12.8993076,5,9.210360372,9.210320372,45,118.8072715,0,4,4,8,6,5,11,5,0.358932,0.371407,0.000015
2218,swallow,,34,11.57017165,27,7.523961418,7.52370139,918,87.05352512,0,15,22,37,30,29,59,4,0.454094,0.466828,0.000001
2219,swahili,,17,12.26331883,8,8.740356743,8.740286741,136,107.1857815,0,6,8,14,15,14,29,4,0.427302,0.443679,0
2220,sw,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,2,2,4,2,2,4,5,0.384379,0.400576,0
2221,svetlana,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,0,0,0,0,0,0,0,0,0
2222,suzuki,,59,11.01899473,28,7.487593774,7.487323743,1652,82.50575636,0,24,28,52,42,43,85,4,0.434754,0.450707,0.000005
2223,suzerainty,,9,12.8993076,6,9.028038815,9.027988815,54,116.4554497,0,7,5,12,9,7,16,5,0.382969,0.399239,0
2224,suzerain,,2,14.403385,1,10.81979828,10.81979828,2,155.8417203,0,1,2,3,2,2,4,4,0.40098,0.418643,0
2225,suzanne,,9,12.8993076,9,8.622573707,8.622493705,81,111.2252305,0,5,3,8,7,3,10,5,0.317885,0.321791,0
2226,sutton,,26,11.83843564,20,7.824066011,7.823875996,520,92.62470191,0,20,10,30,24,17,41,4,0.391915,0.408958,0.000004
2227,sutherland,,19,12.1520932,12,8.334891634,8.334781631,228,101.2863799,0,9,13,22,14,16,30,4,0.433427,0.449238,0.000001
2228,sustenance,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,2,4,2,2,4,4,0.388136,0.404686,0
2229,sustain,,13,12.53158282,13,8.254848927,8.254728922,169,103.446323,0,4,8,12,12,12,24,4,0.436121,0.451529,0
2230,sussex,,124,10.27625061,82,6.413079037,6.412268725,10168,65.90240738,0,27,40,67,115,105,220,4,0.457347,0.469772,0.000007
2231,suspicious,,9,12.8993076,9,8.622573707,8.622493705,81,111.2252305,0,5,2,7,7,3,10,5,0.379481,0.395368,0
2232,suspicion,,9,12.8993076,9,8.622573707,8.622493705,81,111.2252305,0,4,4,8,7,6,13,4,0.412852,0.430117,0
2233,suspension,,50,11.18450917,35,7.264450223,7.264110172,1750,81.24931015,0,19,15,34,37,37,74,4,0.449347,0.462852,0.000003
2234,suspense,,7,13.15062203,6,9.028038815,9.027988815,42,118.7243261,0,4,3,7,4,6,10,5,0.39591,0.413035,0
2235,suspend,,5,13.48709426,5,9.210360372,9.210320372,25,124.2209985,0,2,3,5,4,3,7,5,0.414249,0.431949,0
2236,suspect,,11,12.6986369,10,8.517213191,8.517123189,110,108.1569978,0,7,10,17,10,11,21,4,0.404683,0.422169,0
2237,susie,,10,12.79394708,8,8.740356743,8.740286741,80,111.8236617,0,6,7,13,6,7,13,5,0.329742,0.334135,0.000002
2238,sushi,,16,12.32394346,7,8.873888135,8.873828135,112,109.3612956,0,7,8,15,13,10,23,4,0.437572,0.452782,0
2239,susceptible,,9,12.8993076,9,8.622573707,8.622493705,81,111.2252305,0,4,2,6,7,9,16,5,0.360083,0.372579,0
2240,susanne,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,2,0,2,2,0,2,0,0,0,0
2241,susan,,58,11.03608917,50,6.907775279,6.907285168,2900,76.23482392,0,31,26,57,41,32,73,4,0.429307,0.44582,0.000189
2242,sus,,14,12.45747485,9,8.622573707,8.622493705,126,107.4154951,0,6,4,10,14,8,22,4,0.390398,0.407662,0
2243,survivor,,77,10.75272676,44,7.03560865,7.035178566,3388,75.65197738,0,43,34,77,68,70,138,4,0.450053,0.463767,0.000007
2244,survive,,142,10.14070512,132,5.936996362,5.935685529,18744,60.2053294,0,32,60,92,123,123,246,4,0.468463,0.478762,0.000007
2245,survival,,67,10.89183956,55,6.812465099,6.811924964,3685,74.20027685,0,36,23,59,60,58,118,4,0.439283,0.454542,0.000042
2246,surveyor,,12,12.61162553,11,8.421903011,8.421803008,132,106.213887,0,7,7,14,12,11,23,5,0.396919,0.414171,0
2247,survey,,84,10.66571538,63,6.676663558,6.676043378,5292,71.21139319,0,30,37,67,58,68,126,4,0.462965,0.474124,0.000036
2248,surround,,39,11.43297053,37,7.208880372,7.208520314,1443,82.41891685,0,11,15,26,29,31,60,4,0.442282,0.456951,0
2249,surrogate,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,1,3,5,0.323847,0.327224,0
2250,surrey,,92,10.5747436,64,6.660915201,6.660285015,5888,70.43747039,0,31,37,68,70,81,151,4,0.445401,0.460012,0.000007
2251,surrender,,62,10.96939779,53,6.849506371,6.848986246,3286,75.13496006,0,23,25,48,54,56,110,4,0.454851,0.467509,0.000002
2252,surreal,,9,12.8993076,9,8.622573707,8.622493705,81,111.2252305,0,5,6,11,8,8,16,5,0.384887,0.401223,0
2253,surprise,,61,10.98565831,45,7.013135794,7.012695706,2745,77.04391354,0,25,32,57,49,47,96,4,0.458789,0.470758,0.000062
2254,surplus,,19,12.1520932,12,8.334891634,8.334781631,228,101.2863799,0,10,13,23,16,15,31,4,0.416808,0.434065,0
2255,surpass,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.315635,0.319864,0
2256,surname,,85,10.65388092,77,6.475992862,6.475232589,6545,68.9944568,0,31,36,67,75,64,139,4,0.465368,0.475959,0.000017
2257,surgical,,21,12.05200974,19,7.875359305,7.875179292,399,94.91390705,0,12,6,18,20,9,29,5,0.361167,0.373994,0.000012
2258,surgery,,111,10.38700198,75,6.502310171,6.501569912,8325,67.53950859,0,47,41,88,99,94,193,4,0.462965,0.474194,0.000099
2259,surgeon,,41,11.38296011,33,7.323290723,7.322970678,1353,83.36072618,0,20,20,40,38,32,70,4,0.441249,0.456176,0.000036
2260,surge,,27,11.80069531,21,7.775275846,7.77507583,567,91.75366123,0,7,12,19,26,19,45,4,0.445759,0.459824,0.000017
2261,surface,,744,8.484491143,546,4.517179308,4.511714513,406224,38.32596783,0,128,129,257,639,622,1261,4,0.475745,0.485475,0.000219
2262,surf,,28,11.76432767,18,7.929426526,7.929256515,504,93.28437187,0,13,14,27,18,21,39,5,0.389558,0.406477,0.000001
2263,surety,,4,13.71023782,1,10.81979828,10.81979828,4,148.3420076,0,2,1,3,4,3,7,5,0.320201,0.323462,0
2264,sure,,233,9.645493724,219,5.430726554,5.428544218,51027,52.3820389,0,20,57,77,195,223,418,4,0.457323,0.47011,0.000001
2265,surah,,6,13.30477271,4,9.433503923,9.433473923,24,125.5106255,0,5,1,6,5,3,8,5,0.345599,0.354479,0
2266,supreme,,218,9.712037115,149,5.815851978,5.814370912,32482,56.48377027,0,49,25,74,190,182,372,5,0.371834,0.387085,0.000002
2267,supremacy,,26,11.83843564,20,7.824066011,7.823875996,520,92.62470191,0,10,17,27,23,23,46,4,0.448915,0.462537,0.000002
2268,supranational,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,1,3,5,0.384237,0.400402,0
2269,supra,,4,13.71023782,1,10.81979828,10.81979828,4,148.3420076,0,2,3,5,3,4,7,5,0.365616,0.37915,0
2270,suppressor,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,1,1,0,1,1,5,0.319758,0.323267,0
2271,suppression,,6,13.30477271,6,9.028038815,9.027988815,36,120.1160044,0,3,2,5,5,4,9,5,0.404821,0.422175,0
2272,suppress,,10,12.79394708,10,8.517213191,8.517123189,100,108.9687749,0,2,7,9,9,8,17,4,0.422683,0.439759,0
2273,supposition,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.32946,0.333471,0
2274,suppose,,18,12.20616042,16,8.047209562,8.047059554,288,98.22553084,0,9,7,16,12,18,30,4,0.419874,0.437144,0
2275,support,,525,8.833133915,466,4.67561265,4.670951899,244650,41.30031267,0,117,125,242,444,446,890,4,0.474892,0.484766,0.00017
2276,supply,,188,9.860090215,142,5.863971227,5.86256026,26696,57.81928531,0,66,63,129,165,154,319,4,0.468068,0.478522,0.000013
2277,supplicate,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.359165,0.371513,0
2278,supplicant,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,0,1,1,0,1,0,0,0,0
2279,supplementary,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,4,4,8,4,4,8,5,0.39863,0.416424,0
2280,supple,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.398076,0.415824,0
2281,supine,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.325479,0.3292,0
2282,supervisory,,4,13.71023782,2,10.1266511,10.1266411,8,138.8387949,0,3,2,5,4,4,8,5,0.323057,0.326155,0
2283,superstitious,,5,13.48709426,4,9.433503923,9.433473923,20,127.2305567,0,1,4,5,2,4,6,5,0.337876,0.344231,0
2284,superstition,,14,12.45747485,14,8.180740955,8.180610949,196,101.9113747,0,7,10,17,13,12,25,4,0.435918,0.451378,0
2285,supersede,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,0,1,1,0,1,0,0,0,0
2286,superlative,,8,13.01709064,3,9.721185996,9.721165996,24,126.5415592,0,5,4,9,8,6,14,5,0.370005,0.384454,0
2287,superior,,59,11.01899473,53,6.849506371,6.848986246,3127,75.47467462,0,21,29,50,51,47,98,4,0.453271,0.466307,0.000003
2288,superintendent,,8,13.01709064,8,8.740356743,8.740286741,64,113.7740159,0,6,2,8,6,8,14,5,0.378672,0.394481,0
2289,superficial,,6,13.30477271,6,9.028038815,9.027988815,36,120.1160044,0,4,3,7,5,3,8,5,0.320126,0.32344,0
2290,superbly,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,0,1,1,0,1,0,0,0,0
2291,superb,,9,12.8993076,7,8.873888135,8.873828135,63,114.4670127,0,4,3,7,9,4,13,5,0.322265,0.325421,0
2292,super,,483,8.916515524,253,5.286408795,5.283885665,122199,47.13634609,0,124,45,169,386,374,760,4,0.36972,0.384758,0.000134
2293,sup,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,6,0.284339,0.290625,0
2294,suny,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,3,3,6,3,3,6,5,0.400673,0.41841,0
2295,suntan,,3,13.99791989,1,10.81979828,10.81979828,3,151.4546696,0,2,1,3,2,3,5,6,0.262931,0.26748,0
2296,sunspot,,8,13.01709064,5,9.210360372,9.210320372,40,119.8920957,0,4,3,7,6,5,11,5,0.348708,0.35837,0
2297,sunshine,,33,11.60002462,29,7.452502454,7.452222421,957,86.44921192,0,15,20,35,29,30,59,4,0.421879,0.439008,0.000001
2298,sunset,,33,11.60002462,30,7.418600903,7.418310866,990,86.05595308,0,16,17,33,27,29,56,4,0.43595,0.451538,0.000002
2299,sunscreen,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,3,3,6,3,3,6,4,0.395777,0.412911,0
2300,sunrise,,35,11.54118412,30,7.418600903,7.418310866,1050,85.6194389,0,19,18,37,28,31,59,4,0.453097,0.465936,0.000002
2301,sunnyvale,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.324581,0.327869,0
2302,sunny,,39,11.43297053,36,7.236279346,7.235929291,1404,82.73216852,0,23,17,40,35,29,64,4,0.433353,0.449266,0.000003
2303,sunlight,,91,10.58567267,76,6.489064944,6.488314678,6916,68.69111744,0,32,38,70,80,69,149,4,0.462941,0.474109,0.000007
2304,sunken,,6,13.30477271,6,9.028038815,9.027988815,36,120.1160044,0,4,3,7,5,3,8,5,0.330399,0.334665,0
2305,sunk,,18,12.20616042,16,8.047209562,8.047059554,288,98.22553084,0,11,11,22,16,16,32,4,0.4408,0.455608,0
2306,sunglasses,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,0,2,2,0,2,2,5,0.344198,0.352841,0
2307,sung,,181,9.898035146,150,5.80916299,5.807671909,27150,57.49929945,0,36,38,74,152,163,315,4,0.452197,0.465598,0.000017
2308,sunflower,,15,12.38848198,12,8.334891634,8.334781631,180,103.2566548,0,8,11,19,14,13,27,4,0.427128,0.443571,0.000002
2309,sunfish,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,2,3,5,4,4,8,5,0.3988,0.416518,0
2310,sundry,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,0,1,1,0,1,0,0,0,0
2311,sundown,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,3,4,7,3,4,7,5,0.353528,0.364349,0
2312,sundial,,4,13.71023782,2,10.1266511,10.1266411,8,138.8387949,0,2,3,5,4,3,7,5,0.343068,0.350711,0
2313,sundew,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.332391,0.337648,0
2314,sunder,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,2,3,1,2,3,5,0.386749,0.403195,0
2315,sunday,,203,9.783326198,166,5.707810496,5.706159166,33698,55.84137196,0,50,69,119,181,154,335,4,0.468475,0.478926,0.000019
2316,sunburnt,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,1,2,1,1,2,5,0.326966,0.330447,0
2317,sunburn,,9,12.8993076,7,8.873888135,8.873828135,63,114.4670127,0,3,8,11,6,9,15,4,0.426891,0.443308,0
2318,sun,,834,8.370298775,497,4.611208258,4.606236016,414498,38.59719083,0,94,181,275,772,634,1406,4,0.476217,0.486794,0.000051
2319,sumter,,12,12.61162553,10,8.517213191,8.517123189,120,107.4159033,0,5,5,10,11,11,22,5,0.385372,0.401735,0
2320,sumptuous,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,1,1,0,1,1,5,0.32284,0.326057,0
2321,sumner,,7,13.15062203,6,9.028038815,9.027988815,42,118.7243261,0,4,5,9,6,6,12,5,0.349477,0.359223,0
2322,summon,,11,12.6986369,8,8.740356743,8.740286741,88,110.9906167,0,7,4,11,11,8,19,4,0.423056,0.439712,0
2323,summit,,52,11.14528846,39,7.156236638,7.155856573,2028,79.75832161,0,13,26,39,42,45,87,4,0.458943,0.470772,0.000053
2324,summertime,,32,11.63079627,10,8.517213191,8.517123189,320,99.06197145,0,17,13,30,22,21,43,4,0.421849,0.439036,0.000004
2325,summer,,660,8.604292342,523,4.56021682,4.554983253,345180,39.23743866,0,97,129,226,597,407,1004,4,0.474334,0.484428,0.000071
2326,summary,,36,11.51301324,31,7.38581108,7.385511041,1116,85.03294074,0,13,11,24,33,33,66,5,0.407142,0.424785,0
2327,sumatra,,32,11.63079627,24,7.641744454,7.641514432,768,88.87957293,0,14,18,32,29,29,58,4,0.439729,0.454829,0.000001
2328,sum,,107,10.42370334,78,6.463089458,6.462319176,8346,67.36932718,0,26,31,57,99,97,196,4,0.455481,0.468119,0.000113
2329,sultry,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.384237,0.400402,0
2330,sultan,,181,9.898035146,133,5.929449156,5.92812831,24073,58.68989614,0,43,37,80,130,113,243,4,0.455026,0.46788,0.000006
2331,sulphur,,19,12.1520932,16,8.047209562,8.047059554,304,97.79044058,0,16,12,28,17,16,33,4,0.4069,0.424413,0.000076
2332,sully,,6,13.30477271,4,9.433503923,9.433473923,24,125.5106255,0,3,3,6,3,3,6,5,0.3457,0.354652,0.000003
2333,sullivan,,51,11.16470654,34,7.29343776,7.293107712,1734,81.42909229,0,24,32,56,45,43,88,4,0.4364,0.452223,0.000003
2334,sulfurous,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,2,4,2,2,4,5,0.321372,0.324699,0
2335,sulfuric,,15,12.38848198,11,8.421903011,8.421803008,165,104.3345937,0,6,3,9,10,15,25,5,0.355425,0.367209,0
2336,sulfur,,68,10.87702447,34,7.29343776,7.293107712,2312,79.330901,0,33,28,61,54,57,111,4,0.42215,0.439407,0.000099
2337,sulfide,,26,11.83843564,16,8.047209562,8.047059554,416,95.26637248,0,7,15,22,25,24,49,4,0.456864,0.468913,0.000005
2338,sulfate,,13,12.53158282,13,8.254848927,8.254728922,169,103.446323,0,9,9,18,11,11,22,4,0.411293,0.428708,0.000054
2339,sukiyaki,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.322546,0.326813,0
2340,suitor,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,2,3,1,2,3,5,0.350963,0.360998,0
2341,suite,,111,10.38700198,73,6.529338843,6.528618598,8103,67.82025547,0,27,35,62,88,88,176,4,0.46235,0.473593,0.00001
2342,suitcase,,6,13.30477271,4,9.433503923,9.433473923,24,125.5106255,0,6,5,11,6,6,12,5,0.363236,0.376274,0
2343,suit,,105,10.44257183,56,6.794446593,6.793896453,5880,70.95149658,0,39,41,80,86,83,169,4,0.465405,0.47603,0.000074
2344,suicide,,146,10.11292556,122,6.015777239,6.014566531,17812,60.83710738,0,41,54,95,113,109,222,4,0.468958,0.47902,0.00001
2345,suicidal,,10,12.79394708,5,9.210360372,9.210320372,50,117.8368632,0,7,4,11,7,4,11,5,0.350222,0.360164,0
2346,suggestive,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,2,2,4,3,3,6,5,0.388391,0.405141,0
2347,suggestion,,13,12.53158282,12,8.334891634,8.334781631,156,104.4493848,0,9,6,15,13,11,24,4,0.425847,0.442477,0
2348,suggest,,56,11.07118049,56,6.794446593,6.793896453,3136,75.22254454,0,21,13,34,28,52,80,4,0.425694,0.442599,0
2349,sugary,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,2,2,4,3,2,5,5,0.320896,0.324336,0
2350,sugar,,344,9.25589052,224,5.408152232,5.405919787,77056,50.05726498,0,116,93,209,287,282,569,4,0.466138,0.477583,0.000119
2351,suffragette,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,2,4,2,2,4,5,0.322634,0.326091,0.000053
2352,suffrage,,20,12.1007999,10,8.517213191,8.517123189,200,103.0650926,0,8,12,20,19,16,35,5,0.399545,0.417086,0.000014
2353,suffolk,,76,10.76579884,53,6.849506371,6.848986246,4028,73.74040772,0,24,33,57,59,69,128,4,0.458114,0.470236,0.000002
2354,suffocate,,4,13.71023782,3,9.721185996,9.721165996,12,133.2797719,0,4,3,7,4,3,7,5,0.355283,0.36704,0.000004
2355,suffix,,27,11.80069531,23,7.684304068,7.684084048,621,90.68013099,0,8,16,24,25,19,44,4,0.432161,0.448294,0
2356,sufficient,,23,11.96103796,22,7.728755831,7.728545813,506,92.44394189,0,13,11,24,21,17,38,4,0.415948,0.433361,0
2357,suffice,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.360829,0.373487,0
2358,suffer,,64,10.93764909,63,6.676663558,6.676043378,4032,73.02700311,0,20,27,47,58,63,121,4,0.437831,0.453486,0.000002
2359,suez,,19,12.1520932,12,8.334891634,8.334781631,228,101.2863799,0,9,8,17,19,19,38,5,0.361167,0.373903,0
2360,suey,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,0,1,2,0,2,0,0,0,0
2361,suet,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.320415,0.323638,0
2362,sue,,23,11.96103796,16,8.047209562,8.047059554,368,96.25297905,0,14,15,29,18,18,36,4,0.43655,0.452017,0.000017
2363,sudden,,37,11.48561426,35,7.264450223,7.264110172,1295,83.4366731,0,20,22,42,35,25,60,5,0.389225,0.406289,0.000011
2364,sudanese,,10,12.79394708,8,8.740356743,8.740286741,80,111.8236617,0,3,7,10,7,7,14,5,0.335793,0.341425,0
2365,sudan,,84,10.66571538,50,6.907775279,6.907285168,4200,73.67636502,0,34,38,72,80,58,138,4,0.454385,0.467363,0.000006
2366,sud,,14,12.45747485,8,8.740356743,8.740286741,112,108.8827743,0,3,5,8,13,8,21,4,0.402599,0.42022,0
